"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"NRG1","ENSG00000157168",-0.0347758811890948,1.42251554599084,0.512789913429948,0.744727708970734,"NONE",-0.654878691489411
"BTBD19","ENSG00000222009",0.0303245212854095,2.33538404153275,0.382052483894053,0.644572989276596,"NONE",0.874746005547538
"PIK3R4","ENSG00000196455",-0.0299519951079068,3.03309108296861,0.294442684242798,0.566142628134237,"NONE",-1.04931783917309
"RPS11","ENSG00000142534",0.0317243704470194,7.02348441798846,0.323853206026589,0.592794812671825,"NONE",0.987360003791218
"RRP1B","ENSG00000160208",0.0202876817098283,3.27749960130912,0.26951131897265,0.542880246766185,"NONE",1.10518240832187
"MUC12","ENSG00000205277",-0.0271814125694161,0.396817662498122,0.694064150868421,0.853766131247783,"NONE",-0.393529818521145
"SLC8A1-AS1","ENSG00000227028",0.0356109617406002,1.34262873919066,0.51628143043824,0.747923735213516,"NONE",0.649462093508721
"MCM5","ENSG00000100297",0.0327050383103333,1.78588055730981,0.452003906217787,0.701177486889229,"NONE",0.75255577685407
"ZSWIM4","ENSG00000132003",0.0238029225591381,2.38510831469275,0.380079076544349,0.642980116030245,"NONE",0.87838069336978
"WDYHV1","ENSG00000156795",-0.0285490198804048,3.20684667654097,0.278982840268688,0.551016683251634,"NONE",-1.08356074195934
"ZNF675","ENSG00000197372",-0.0246142699309488,1.97245414433435,0.433176490600815,0.686830081168831,"NONE",-0.784280555219422
"NKAIN1","ENSG00000084628",-0.0480908207188473,2.72331290142472,0.330645361825388,0.599467409131196,"NONE",-0.973582576788614
"OLFML3","ENSG00000116774",-0.0551709644534939,1.77586402332117,0.453443613152488,0.701867090869503,"NONE",-0.750161133782762
"MIR99AHG","ENSG00000215386",0.0258422512179886,2.74950918690471,0.32287233393135,0.591877294524773,"NONE",0.989365152766197
"ASNS","ENSG00000070669",-0.0306415132393356,4.93877537831784,0.245167099202624,0.518515469353398,"NONE",-1.16327627502176
"RXRG","ENSG00000143171",0.065502725023572,2.97326441382733,0.29232610012642,0.564115612236026,"NONE",1.05393305400961
"SEPT2","ENSG00000168385",-0.040360418891745,5.1524038660777,0.249574473768452,0.522926329094353,"NONE",-1.15246956853116
