"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"RBM19","ENSG00000122965",0.0900293219920827,3.44323074717775,0.00574772020092765,0.0553150289619936,"NONE",2.80354295938598
"RAB39B","ENSG00000155961",-0.137733877719502,3.48570669533477,0.00568382879455298,0.0550572424834978,"DOWN",-2.80734469928424
"BAG4","ENSG00000156735",-0.129903562263672,4.36473611970446,0.00581074438555375,0.0557235698255516,"NONE",-2.79983035940599
"PMEPA1","ENSG00000124225",0.190395682573061,3.43923930564674,0.00570916757488178,0.0552104789223052,"UP",2.80583232523982
"","ENSG00000279432",0.134186132105775,2.22331186232758,0.00689969987947847,0.0604688041564617,"NONE",2.74087002767832
"BZW2","ENSG00000136261",-0.147444081415884,2.86878336978512,0.00606758064278136,0.0566484057662125,"DOWN",-2.78507037670237
"C11orf87","ENSG00000185742",-0.236324901344648,4.25903243085106,0.00579574818245412,0.0556390068188413,"DOWN",-2.80071041100483
"TRPV2","ENSG00000187688",-0.210765051072935,2.4920011040145,0.00651896428314407,0.0587534704745873,"DOWN",-2.76045580397696
"HTR5A-AS1","ENSG00000220575",-0.271431697739988,2.65632752290826,0.00627836011148599,0.0576780035127737,"DOWN",-2.77337610878187
"SLC22A8","ENSG00000149452",-0.316720362449547,1.41881267784948,0.00750515599273857,0.0631113632733018,"DOWN",-2.71165742588454
"RASSF8-AS1","ENSG00000246695",0.123656503030073,2.70721758799169,0.0063511034158144,0.0580089496335585,"NONE",2.76942302701002
"RHOT1","ENSG00000126858",-0.083204698345849,4.09071632975148,0.00571317846463506,0.0552104789223052,"NONE",-2.80559349163665
"DBNL","ENSG00000136279",-0.063731573910573,3.53605410655041,0.00573272691871721,0.0552684989765519,"NONE",-2.80443163619474
"WDR90","ENSG00000161996",0.120700707172592,1.44099512817911,0.00753811080905112,0.0632043134816737,"NONE",2.71012946283557
"SPTBN1","ENSG00000115306",0.100441407401159,5.76499077091587,0.0066377965629514,0.0593843567511531,"NONE",2.75423371608485
"RAB11A","ENSG00000103769",-0.0806412184656056,4.37977278993274,0.00590659584002151,0.0559577193235118,"NONE",-2.79425370391236
"HSPA8P4","ENSG00000248610",-0.179820391960596,2.2594435375719,0.00702053451057044,0.0610165943991111,"DOWN",-2.734859018973
"DCUN1D4","ENSG00000109184",-0.0706506431027889,3.85131792673126,0.00576368363890261,0.0554033241190626,"NONE",-2.80259909835283
"WNT5A","ENSG00000114251",-0.191564503505722,2.0425638073551,0.00724234776819704,0.0618992203699239,"DOWN",-2.72406500096536
"GFM1","ENSG00000168827",-0.0649048750056704,3.05602257237123,0.00603027947769146,0.0564047115386132,"NONE",-2.78717829296906
"HUWE1","ENSG00000086758",0.0940063967036586,4.49580123493868,0.00602884964152585,0.0564047115386132,"NONE",2.7872593300124
"FAM220A","ENSG00000178397",-0.128775099363311,3.9605703205143,0.0058277253824419,0.0557235698255516,"NONE",-2.79883632450966
"PARP4","ENSG00000102699",0.18399212481925,2.88986490119443,0.00626534634934433,0.0576489654119618,"UP",2.77408770328973
"GYPC","ENSG00000136732",0.251306114756061,1.96363036007986,0.00739311515589044,0.0627185164108335,"UP",2.71689811018492
