GeneID	RNAseq wt_1	RNAseq wt_2	RNAseq wt_3	RNAseq APP_1	RNAseq APP_2	RNAseq APP_3	RNAseq PSEN_1	RNAseq PSEN_2	RNAseq PSEN_3	RNAseq APP/PSEN1_1	RNAseq APP/PSEN1_2	RNAseq APP/PSEN1_3
ENSG00000008128	46	46	35	66	33	64	33	46	30	53	96	48
ENSG00000268575	80	89	85	93	80	97	94	166	101	61	127	107
ENSG00000227775	228	254	265	325	271	333	400	484	290	150	303	226
ENSG00000215790	136	120	161	168	121	154	195	265	149	86	135	142
ENSG00000008130	323	314	293	582	419	604	383	520	347	226	368	291
ENSG00000078369	4791	5331	5304	8606	7222	7695	7018	9609	5913	3896	6433	5059
ENSG00000231050	42	28	26	29	14	22	24	55	28	22	37	25
ENSG00000169885	2	1	4	1	0	1	1	1	2	1	3	6
ENSG00000178821	23	32	38	97	78	93	40	56	45	20	36	23
ENSG00000142609	2	5	3	8	7	6	8	12	2	1	10	11
ENSG00000233542	2	5	2	3	5	2	5	4	3	2	5	4
ENSG00000187730	27	32	20	23	29	24	57	61	43	5	15	9
ENSG00000226969	0	0	0	0	0	0	0	1	1	0	3	1
ENSG00000067606	572	625	605	658	405	528	617	901	544	238	436	343
ENSG00000271806	8	7	9	10	5	4	5	6	7	0	6	4
ENSG00000182873	25	31	26	47	27	30	55	88	41	30	47	35
ENSG00000162585	137	137	124	149	109	167	162	257	146	103	190	170
ENSG00000269554	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203301	8	4	3	2	4	3	7	16	6	5	21	7
ENSG00000243558	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234396	0	0	2	0	0	0	0	1	0	0	0	0
ENSG00000157933	271	266	321	536	525	561	494	687	445	291	430	340
ENSG00000116151	53	60	76	98	85	116	96	136	92	71	128	100
ENSG00000272161	0	1	2	0	0	0	0	2	0	0	0	0
ENSG00000269753	1	6	1	1	3	2	0	2	0	1	2	17
ENSG00000269896	10	14	16	7	13	16	21	28	16	14	19	11
ENSG00000238240	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272420	6	9	11	27	15	14	27	44	26	10	24	19
ENSG00000271921	1	2	2	2	5	2	2	3	6	1	3	2
ENSG00000271847	1	7	6	3	5	3	5	2	2	0	2	1
ENSG00000178642	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	738	788	739	941	674	890	804	1072	618	404	706	656
ENSG00000157911	180	214	195	245	156	282	235	350	178	147	260	218
ENSG00000149527	537	573	546	383	295	367	497	731	480	212	395	313
