"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"PPM1B","ENSG00000138032",0.508714891,6.204701477,1.43e-07,9.69e-07,"NONE"
"GPR133","ENSG00000111452",2.615187768,-0.79619647,1.44e-07,9.76e-07,"UP"
"CISD1","ENSG00000122873",-0.664874284,4.480739325,1.44e-07,9.76e-07,"NONE"
"STOX1","ENSG00000165730",1.173249209,1.740024281,1.46e-07,9.85e-07,"UP"
"ARMC6","ENSG00000105676",-0.567044717,4.976554315,1.46e-07,9.83e-07,"NONE"
"BCL7A","ENSG00000110987",-0.988607282,6.08446152,1.46e-07,9.84e-07,"NONE"
"SELM","ENSG00000198832",-1.674186694,2.568570962,1.46e-07,9.83e-07,"DOWN"
"AC018647.3","ENSG00000227544",2.048514809,0.855651426,1.5e-07,1.01e-06,"UP"
"ITSN1","ENSG00000205726",0.515111856,6.969175147,1.52e-07,1.02e-06,"NONE"
"NSA2","ENSG00000164346",-0.529809003,5.706145877,1.53e-07,1.03e-06,"NONE"
"UBA7","ENSG00000182179",0.727292816,4.801391192,1.54e-07,1.03e-06,"NONE"
"ERGIC2","ENSG00000087502",-0.49047303,5.366174966,1.55e-07,1.04e-06,"NONE"
"SIGMAR1","ENSG00000147955",-0.711457143,5.078535659,1.56e-07,1.05e-06,"NONE"
"TIMP3","ENSG00000100234",-0.535665543,7.872557662,1.57e-07,1.06e-06,"NONE"
"FAM65B","ENSG00000111913",-1.051642494,4.860916388,1.57e-07,1.05e-06,"DOWN"
NA,"ENSG00000170727",-1.322989091,1.606159859,1.58e-07,1.06e-06,"DOWN"
"ZFAS1","ENSG00000177410",-0.553320199,6.954116095,1.61e-07,1.08e-06,"NONE"
"BCL2L1","ENSG00000171552",-0.722712557,5.100669551,1.62e-07,1.09e-06,"NONE"
"RP11-478C6.4","ENSG00000250321",-0.875259145,3.859218524,1.62e-07,1.09e-06,"NONE"
"SRRM2-AS1","ENSG00000205913",1.621076179,1.898706957,1.63e-07,1.1e-06,"UP"
"B4GALT2","ENSG00000117411",-0.667594597,6.485715464,1.63e-07,1.09e-06,"NONE"
"IFI44","ENSG00000137965",0.924230519,5.698591289,1.64e-07,1.1e-06,"NONE"
"TAOK3","ENSG00000135090",0.853092534,7.283300293,1.65e-07,1.11e-06,"NONE"
"ARID4B","ENSG00000054267",0.488036189,6.958675586,1.65e-07,1.11e-06,"NONE"
"SH3BGRL2","ENSG00000198478",-0.591804088,4.5686166,1.65e-07,1.11e-06,"NONE"
"MRC2","ENSG00000011028",-0.478505608,8.658282232,1.66e-07,1.11e-06,"NONE"
"HES6","ENSG00000144485",-0.851664198,8.531884727,1.68e-07,1.12e-06,"NONE"
"IFRD2","ENSG00000214706",-0.589888157,4.426263214,1.69e-07,1.13e-06,"NONE"
"RPS20","ENSG00000008988",-0.472657137,8.666168626,1.7e-07,1.13e-06,"NONE"
"CTD-2353F22.1","ENSG00000250155",0.834164351,3.721694388,1.71e-07,1.14e-06,"NONE"
"PLEKHF1","ENSG00000166289",1.40975824,2.865341914,1.72e-07,1.15e-06,"UP"
"NMD3","ENSG00000169251",-0.528899639,5.917620213,1.72e-07,1.15e-06,"NONE"
"DPP3","ENSG00000254986",-0.565095154,5.324968041,1.72e-07,1.15e-06,"NONE"
"ASPM","ENSG00000066279",-1.290455073,1.401736821,1.77e-07,1.18e-06,"DOWN"
"ZSCAN30","ENSG00000186814",0.52296801,6.257601146,1.78e-07,1.19e-06,"NONE"
"DDX31","ENSG00000125485",-0.61455667,4.772502369,1.8e-07,1.2e-06,"NONE"
"YWHAG","ENSG00000170027",-0.509306752,7.98229148,1.83e-07,1.22e-06,"NONE"
"RGS19","ENSG00000171700",-1.16325045,2.298229194,1.84e-07,1.23e-06,"DOWN"
"XPO6","ENSG00000169180",-0.609488175,7.568697998,1.85e-07,1.23e-06,"NONE"
"ANKRD28","ENSG00000206560",0.502373926,6.097791828,1.86e-07,1.24e-06,"NONE"
"FCGR2A","ENSG00000143226",3.271759978,-0.521870499,1.87e-07,1.25e-06,"UP"
"IQCH","ENSG00000103599",0.963035944,2.971490892,1.87e-07,1.24e-06,"NONE"
"RPL35A","ENSG00000182899",-0.576947104,8.205156281,1.89e-07,1.26e-06,"NONE"
"ELOVL2","ENSG00000197977",-0.641943302,6.810677346,1.9e-07,1.26e-06,"NONE"
"RPL39L","ENSG00000163923",1.008484132,2.37495122,1.91e-07,1.27e-06,"UP"
"RP1-89D4.1","ENSG00000241255",-0.906833552,3.659793366,1.91e-07,1.27e-06,"NONE"
"BRD1","ENSG00000100425",0.502997696,6.194750685,1.92e-07,1.28e-06,"NONE"
"PCDHB9","ENSG00000177839",0.941868501,3.599808071,1.94e-07,1.29e-06,"NONE"
"RP11-164J13.1","ENSG00000258461",1.726904357,0.35231809,1.95e-07,1.3e-06,"UP"
